¿îÇàÀÏÀÚ,È£¼±,¿ª, ÃÑ½ÂÂ÷ , ÃÑÇÏÂ÷ 
20160919,1,1,"8,137","7,388"
20160919,1,2,"3,382","3,350"
20160919,1,3,"5,742","5,599"
20160919,1,4,"13,270","12,247"
20160919,1,5,"10,731","10,386"
20160919,1,6,"4,606","4,926"
20160919,1,7,"4,428","4,256"
20160919,1,8,"10,356","10,958"
20160919,1,9,"11,601","11,453"
20160919,1,10,"4,135","4,253"
20160920,1,1,"8,282","7,690"
20160920,1,2,"3,929","3,895"
20160920,1,3,"5,925","5,709"
20160920,1,4,"13,823","12,780"
20160920,1,5,"10,616","10,236"
20160920,1,6,"4,898","5,244"
20160920,1,7,"4,490","4,264"
20160920,1,8,"11,024","11,455"
20160920,1,9,"12,058","12,314"
20160920,1,10,"4,585","4,655"
20160921,1,1,"7,966","7,184"
20160921,1,2,"3,670","3,569"
20160921,1,3,"5,879","5,504"
20160921,1,4,"13,460","12,243"
20160921,1,5,"10,344","10,118"
20160921,1,6,"4,992","5,209"
20160921,1,7,"4,404","4,312"
20160921,1,8,"10,753","11,268"
20160921,1,9,"11,923","11,941"
20160921,1,10,"4,316","4,504"
20160922,1,1,"8,333","7,543"
20160922,1,2,"4,102","4,080"
20160922,1,3,"6,019","5,528"
20160922,1,4,"13,790","12,550"
20160922,1,5,"10,797","10,151"
20160922,1,6,"4,752","5,058"
20160922,1,7,"4,538","4,297"
20160922,1,8,"10,867","11,542"
20160922,1,9,"11,893","12,012"
20160922,1,10,"4,415","4,479"
20160923,1,1,"8,304","7,618"
20160923,1,2,"3,904","3,832"
20160923,1,3,"5,872","5,644"
20160923,1,4,"13,220","12,317"
20160923,1,5,"10,381","9,932"
20160923,1,6,"5,011","5,307"
20160923,1,7,"4,573","4,381"
20160923,1,8,"10,627","11,129"
20160923,1,9,"11,925","12,112"
20160923,1,10,"4,385","4,529"
20160924,1,1,"7,698","7,294"
20160924,1,2,"3,195","3,211"
20160924,1,3,"5,089","4,770"
20160924,1,4,"13,575","12,422"
20160924,1,5,"9,920","9,532"
20160924,1,6,"4,872","5,420"
20160924,1,7,"4,132","3,983"
20160924,1,8,"10,991","11,730"
20160924,1,9,"12,479","12,701"
20160924,1,10,"6,278","6,364"
20160925,1,1,"5,480","4,914"
20160925,1,2,"2,882","2,839"
20160925,1,3,"3,071","2,743"
20160925,1,4,"8,686","7,851"
20160925,1,5,"4,247","4,098"
20160925,1,6,"4,275","4,605"
20160925,1,7,"3,347","3,143"
20160925,1,8,"7,404","7,718"
20160925,1,9,"9,466","9,637"
20160925,1,10,"6,977","6,833"
