사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20210701,1호선,종각,36208,35430,20210704
20210701,2호선,강남,85943,84421,20210704
20210701,4호선,남태령,1207,1024,20210704
20210701,3호선,대치,10646,10675,20210704
20210702,4호선,남태령,1623,1371,20210705
20210702,3호선,대치,10608,10791,20210705
20210702,2호선,강남,91383,90085,20210705
20210702,1호선,종각,35975,35270,20210705
20210703,4호선,남태령,1003,685,20210706
20210703,3호선,대치,7491,6930,20210706
20210703,2호선,강남,55661,54163,20210706
20210703,1호선,종각,18584,18138,20210706
20210704,3호선,대치,4226,4027,20210707
20210704,4호선,남태령,515,417,20210707
20210704,1호선,종각,9596,8868,20210707
20210704,2호선,강남,30583,29829,20210707
20210705,1호선,종각,36170,35440,20210708
20210705,4호선,남태령,1215,1047,20210708
20210705,3호선,대치,10726,10777,20210708
20210705,2호선,강남,88680,87803,20210708
20210706,3호선,대치,10933,11047,20210709
20210706,4호선,남태령,1289,1117,20210709
20210706,1호선,종각,36172,35754,20210709
20210706,2호선,강남,91372,89661,20210709
20210707,1호선,종각,36036,34569,20210710
20210707,2호선,강남,85687,83443,20210710
20210707,3호선,대치,10399,10438,20210710
20210707,4호선,남태령,1242,1116,20210710
20210708,4호선,남태령,1153,1060,20210711
20210708,3호선,대치,10212,10266,20210711
20210708,2호선,강남,80809,79558,20210711
20210708,1호선,종각,33875,33068,20210711
20210709,1호선,종각,32656,32054,20210712
20210709,2호선,강남,81527,80012,20210712
20210709,3호선,대치,10418,10483,20210712
20210709,4호선,남태령,1471,1180,20210712
20210710,1호선,종각,13128,12573,20210713
20210710,2호선,강남,45658,44727,20210713
20210710,3호선,대치,7590,6944,20210713
20210710,4호선,남태령,783,664,20210713
20210711,3호선,대치,4548,4004,20210714
20210711,4호선,남태령,444,423,20210714
20210711,2호선,강남,24776,23822,20210714
20210711,1호선,종각,8286,7681,20210714
20210712,1호선,종각,29169,28572,20210715
20210712,2호선,강남,71463,69671,20210715
20210712,3호선,대치,9409,9729,20210715
20210712,4호선,남태령,964,880,20210715
20210713,4호선,남태령,997,815,20210716
20210713,3호선,대치,9760,9829,20210716
20210713,2호선,강남,70495,68959,20210716
20210713,1호선,종각,28023,27513,20210716
20210714,4호선,남태령,964,756,20210717
20210714,3호선,대치,9349,9437,20210717
20210714,2호선,강남,70045,68238,20210717
20210714,1호선,종각,28216,27525,20210717
20210715,2호선,강남,68355,66644,20210718
20210715,3호선,대치,9249,9274,20210718
20210715,4호선,남태령,913,801,20210718
20210715,1호선,종각,27566,26809,20210718
20210716,4호선,남태령,1001,886,20210719
20210716,3호선,대치,9730,9711,20210719
20210716,2호선,강남,70539,68551,20210719
20210716,1호선,종각,27378,26396,20210719
20210717,3호선,대치,7574,6854,20210720
20210717,2호선,강남,41697,40497,20210720
20210717,4호선,남태령,581,497,20210720
20210717,1호선,종각,11152,10772,20210720
20210718,4호선,남태령,406,380,20210721
20210718,3호선,대치,4644,4130,20210721
20210718,2호선,강남,22663,21855,20210721
20210718,1호선,종각,7638,7222,20210721
20210719,1호선,종각,27950,27208,20210722
20210719,2호선,강남,69988,68273,20210722
20210719,3호선,대치,9907,9745,20210722
20210719,4호선,남태령,972,796,20210722
20210720,1호선,종각,27964,27079,20210723
20210720,2호선,강남,71706,69823,20210723
20210720,3호선,대치,10282,10132,20210723
20210720,4호선,남태령,925,787,20210723
20210721,1호선,종각,28190,26981,20210724
20210721,4호선,남태령,937,815,20210724
20210721,3호선,대치,9824,9862,20210724
20210721,2호선,강남,70033,68004,20210724
20210722,4호선,남태령,921,797,20210725
20210722,3호선,대치,9764,9658,20210725
20210722,2호선,강남,69895,68061,20210725
20210722,1호선,종각,27512,26652,20210725
20210723,2호선,강남,72900,70245,20210726
20210723,1호선,종각,27413,26649,20210726
20210723,3호선,대치,10149,10135,20210726
20210723,4호선,남태령,981,830,20210726
20210724,1호선,종각,11376,10998,20210727
20210724,2호선,강남,42937,41636,20210727
20210724,3호선,대치,7616,6778,20210727
20210724,4호선,남태령,724,585,20210727
20210725,1호선,종각,7803,7279,20210728
20210725,2호선,강남,23092,21811,20210728
20210725,3호선,대치,4605,3912,20210728
20210725,4호선,남태령,406,370,20210728
20210726,4호선,남태령,930,810,20210729
20210726,3호선,대치,9883,9804,20210729
20210726,2호선,강남,70861,69012,20210729
20210726,1호선,종각,27906,27220,20210729
20210727,1호선,종각,28168,27358,20210730
20210727,4호선,남태령,913,786,20210730
20210727,3호선,대치,9943,9691,20210730
20210727,2호선,강남,70733,69415,20210730
20210728,1호선,종각,27952,27135,20210731
20210728,2호선,강남,70081,67862,20210731
20210728,3호선,대치,9885,9683,20210731
20210728,4호선,남태령,997,813,20210731
20210729,1호선,종각,27780,27268,20210801
20210729,2호선,강남,69094,67229,20210801
20210729,3호선,대치,9513,9286,20210801
20210729,4호선,남태령,910,811,20210801
20210730,4호선,남태령,984,758,20210802
20210730,3호선,대치,9837,9479,20210802
20210730,2호선,강남,71590,69719,20210802
20210730,1호선,종각,27599,26673,20210802
20210731,2호선,강남,41805,40653,20210803
20210731,1호선,종각,11641,11197,20210803
20210731,4호선,남태령,588,505,20210803
20210731,3호선,대치,7191,6359,20210803
